,date,ticker,mfp,sector,industry,scalemarketcap,qMO,qValue,qQuality,qLV,qSentiment,qGrowth,Weight
88,4/30/2014,NVDA,qMO,Technology,Semiconductors,Large,0.89,0.35,0.68,0.26,1,0.19,0.02
89,4/30/2014,NVDA,qSentiment,Technology,Semiconductors,Large,0.89,0.35,0.68,0.26,1,0.19,0.02
90,4/30/2014,NXPI,qMO,Technology,Semiconductors,Large,0.99,0.14,0.91,0.03,0.26,0.6,0.02
91,4/30/2014,PCAR,qMO,Industrials,Farm & Heavy Construction Machinery,Large,0.78,0.8,0.55,0.61,0.63,0.59,0.02
92,4/30/2014,PWR,qMO,Industrials,Engineering & Construction,Large,0.95,0.7,0.43,0.13,0.71,0.99,0.02
93,4/30/2014,PWR,qGrowth,Industrials,Engineering & Construction,Large,0.95,0.7,0.43,0.13,0.71,0.99,0.02
94,4/30/2014,SCHW,qMO,Financial Services,Capital Markets,Large,0.82,0.08,0.13,0.18,0.61,0.84,0.02
95,4/30/2014,ST,qMO,Technology,Scientific & Technical Instruments,Large,0.98,0.13,0.61,0.51,0.68,0.88,0.02
96,4/30/2014,TRIP,qMO,Industrials,Travel Services,Large,0.75,0.04,0.99,0.02,0.05,0.88,0.02
97,4/30/2014,TRIP,qQuality,Industrials,Travel Services,Large,0.75,0.04,0.99,0.02,0.05,0.88,0.02
98,4/30/2014,TRMB,qMO,Technology,Scientific & Technical Instruments,Large,0.9,0.05,0.78,0.1,0.56,0.82,0.02
99,4/30/2014,TRW,qMO,Consumer Cyclical,Auto Parts,Large,0.89,0.94,0.39,0.17,0.26,0.84,0.02
100,4/30/2014,TRW,qValue,Consumer Cyclical,Auto Parts,Large,0.89,0.94,0.39,0.17,0.26,0.84,0.02
101,4/30/2014,TSN,qMO,Consumer Defensive,Farm Products,Large,0.99,0.83,0.49,0.31,0.7,0.93,0.02
102,4/30/2014,UAA,qMO,Consumer Cyclical,Apparel Manufacturing,Large,0.93,0.04,0.4,0.03,0.32,0.66,0.02
103,4/30/2014,VMW,qMO,Technology,Software - Infrastructure,Large,0.75,0.09,0.99,0.19,0.03,0.93,0.02
104,4/30/2014,VMW,qQuality,Technology,Software - Infrastructure,Large,0.75,0.09,0.99,0.19,0.03,0.93,0.02
105,4/30/2014,VTRS,qMO,Healthcare,Drug Manufacturers - Specialty & Generic,Large,0.95,0.4,0.43,0.13,0.25,0.35,0.02
106,4/30/2014,WLK,qMO,Basic Materials,Specialty Chemicals,Large,0.94,0.74,0.81,0.2,0.16,0.81,0.02
107,4/30/2014,BWA,qMO,Consumer Cyclical,Auto Parts,Large,1,0.45,0.47,0.24,0.41,0.47,0.02
108,4/30/2014,DAL,qMO,Industrials,Airlines,Large,1,0.95,0.31,0.05,0.32,0.93,0.02
109,4/30/2014,DAL,qValue,Industrials,Airlines,Large,1,0.95,0.31,0.05,0.32,0.93,0.02
110,4/30/2014,AGN1,qMO,Healthcare,Biotechnology,Large,0.99,0.15,0.92,0.19,0.01,0.45,0.02
111,4/30/2014,CXO,qMO,Energy,Oil & Gas E&P,Large,0.99,0.44,0.6,0.08,0.07,0.67,0.02
112,4/30/2014,RE,qMO,Financial Services,Insurance - Reinsurance,Large,0.99,0.34,0.1,0.66,0.11,0.98,0.02
113,4/30/2014,RE,qGrowth,Financial Services,Insurance - Reinsurance,Large,0.99,0.34,0.1,0.66,0.11,0.98,0.02
114,4/30/2014,WLL2,qMO,Energy,Oil & Gas E&P,Large,0.99,0.8,0.75,0.02,0.03,0.74,0.02
115,4/30/2014,BHI,qMO,Energy,Oil & Gas Equipment & Services,Large,0.98,0.76,0.52,0.37,0.13,0.66,0.02
116,4/30/2014,CLR,qMO,Energy,Oil & Gas E&P,Large,0.98,0.46,0.87,0.13,0.16,0.9,0.02
117,4/30/2014,EOG,qMO,Energy,Oil & Gas E&P,Large,0.98,0.66,0.91,0.39,0.2,0.98,0.02
118,4/30/2014,EOG,qGrowth,Energy,Oil & Gas E&P,Large,0.98,0.66,0.91,0.39,0.2,0.98,0.02
119,4/30/2014,WFTIQ,qMO,Energy,Oil & Gas Equipment & Services,Large,0.98,0.36,0.23,0.13,0.39,0.03,0.02
120,4/30/2014,HWM,qMO,Industrials,Specialty Industrial Machinery,Large,0.97,0.67,0.03,0.09,0.46,0.01,0.02
121,4/30/2014,LO,qMO,Consumer Defensive,Tobacco,Large,0.97,0.25,0.38,0.46,0.29,0.45,0.02
122,4/30/2014,MGA,qMO,Consumer Cyclical,Auto Parts,Large,0.97,0.92,0.73,0.66,0.69,0.81,0.02
123,4/30/2014,ORAN,qMO,Communication Services,Telecom Services,Large,0.97,0.76,0.52,0.45,0.9,0.37,0.02
124,4/30/2014,ADM,qMO,Consumer Defensive,Farm Products,Large,0.96,0.93,0.44,0.56,0.73,0.53,0.02
125,4/30/2014,ALV,qMO,Consumer Cyclical,Auto Parts,Large,0.96,0.78,0.74,0.65,0.42,0.66,0.02
126,4/30/2014,AZN,qMO,Healthcare,Drug Manufacturers - General,Large,0.96,0.47,0.88,0.64,0.14,0.04,0.02
127,5/31/2014,AGN,qMO,Healthcare,Drug Manufacturers - General,Large,0.87,0.06,0.18,0.12,0.04,0.97,0.02
128,5/31/2014,AMAT,qMO,Technology,Semiconductor Equipment & Materials,Large,0.8,0.11,0.55,0.16,0.65,0.21,0.02
129,5/31/2014,ATVI,qMO,Technology,Electronic Gaming & Multimedia,Large,0.87,0.4,0.63,0.16,0.78,0.4,0.02
130,5/31/2014,AVGO,qMO,Technology,Semiconductors,Large,0.95,0.04,0.91,0.09,0.15,0.45,0.02
131,5/31/2014,BEAV,qMO,Consumer Cyclical,Furnishings,Large,0.99,0.46,0.27,0.13,0.08,0.8,0.02
132,5/31/2014,CPRI,qMO,Consumer Cyclical,Apparel Manufacturing,Large,0.84,0.18,0.91,0.09,0.21,0.98,0.02
133,5/31/2014,CPRI,qGrowth,Consumer Cyclical,Apparel Manufacturing,Large,0.84,0.18,0.91,0.09,0.21,0.98,0.02
134,5/31/2014,DD,qMO,Basic Materials,Chemicals,Large,0.9,0.93,0.57,0.31,0.07,0.87,0.02
135,5/31/2014,EA,qMO,Technology,Electronic Gaming & Multimedia,Large,0.93,0.15,0.91,0.07,0.11,0.26,0.02
136,5/31/2014,ELV,qMO,Healthcare,Healthcare Plans,Large,0.9,0.9,0.28,0.54,0.11,0.75,0.02
137,5/31/2014,GLW,qMO,Technology,Electronic Components,Large,0.93,0.56,0.83,0.18,0.95,0.78,0.02
138,5/31/2014,GMKYY,qMO,Consumer Defensive,Packaged Foods,Large,0.99,0.96,0.59,0.47,0.17,0.87,0.02
139,5/31/2014,GNW,qMO,Financial Services,Insurance - Life,Large,0.85,0.36,0.06,0.02,0.79,0.51,0.02
140,5/31/2014,GRMN,qMO,Technology,Scientific & Technical Instruments,Large,0.76,0.3,0.73,0.27,0.3,0.39,0.02
141,5/31/2014,HAL,qMO,Energy,Oil & Gas Equipment & Services,Large,0.88,0.72,0.76,0.3,0.66,0.93,0.02
142,5/31/2014,HP,qMO,Energy,Oil & Gas Drilling,Large,0.8,0.72,0.86,0.22,0.2,0.45,0.02
143,5/31/2014,ILMN,qMO,Healthcare,Diagnostics & Research,Large,0.86,0.02,0.71,0.04,0.02,0.9,0.02
144,5/31/2014,LNG,qMO,Energy,Oil & Gas Midstream,Large,0.99,0.1,0.02,0.04,0.09,0.41,0.02
145,5/31/2014,LYB,qMO,Basic Materials,Specialty Chemicals,Large,0.96,0.87,0.65,0.67,0.13,0.68,0.02
146,5/31/2014,MAR,qMO,Consumer Cyclical,Lodging,Large,0.95,0.26,0.36,0.61,0.47,0.75,0.02
147,5/31/2014,MU,qMO,Technology,Semiconductors,Large,0.9,0.61,0.9,0.04,0.52,0.78,0.02
148,5/31/2014,NFLX,qMO,Consumer Cyclical,Entertainment,Large,0.81,0.02,0.23,0.04,0.05,0.65,0.02
149,5/31/2014,NXPI,qMO,Technology,Semiconductors,Large,0.82,0.12,0.91,0.04,0.46,0.52,0.02
150,5/31/2014,ST,qMO,Technology,Scientific & Technical Instruments,Large,0.76,0.12,0.62,0.47,0.72,0.86,0.02
151,5/31/2014,TRW,qMO,Consumer Cyclical,Auto Parts,Large,0.85,0.94,0.41,0.17,0.14,0.8,0.02
152,5/31/2014,TRW,qValue,Consumer Cyclical,Auto Parts,Large,0.85,0.94,0.41,0.17,0.14,0.8,0.02
153,5/31/2014,WLK,qMO,Basic Materials,Specialty Chemicals,Large,0.98,0.73,0.86,0.22,0.11,0.92,0.02
154,5/31/2014,KEP,qMO,Utilities,Utilities - Regulated Electric,Large,1,1,0.25,0.62,0.83,0.67,0.02
155,5/31/2014,KEP,qValue,Utilities,Utilities - Regulated Electric,Large,1,1,0.25,0.62,0.83,0.67,0.02
156,5/31/2014,KEP,qSentiment,Utilities,Utilities - Regulated Electric,Large,1,1,0.25,0.62,0.83,0.67,0.02
157,5/31/2014,ORAN,qMO,Communication Services,Telecom Services,Large,1,0.78,0.54,0.46,0.86,0.36,0.02
158,5/31/2014,SBAC,qMO,Real Estate,REIT - Specialty,Large,1,0.03,0.38,0.66,0.09,0.69,0.02
159,5/31/2014,TTM,qMO,Consumer Cyclical,Auto Manufacturers,Large,1,0.99,0.73,0.16,0.28,0.23,0.02
160,5/31/2014,TTM,qValue,Consumer Cyclical,Auto Manufacturers,Large,1,0.99,0.73,0.16,0.28,0.23,0.02
161,5/31/2014,FL,qMO,Consumer Cyclical,Footwear & Accessories,Large,1,0.83,0.68,0.06,0.02,0.98,0.02
162,5/31/2014,DTV1,qMO,Communication Services,Telecom Services,Large,0.99,0.57,0.5,0.42,0.11,0.77,0.02
163,5/31/2014,MMP,qMO,Energy,Oil & Gas Midstream,Large,0.99,0.19,0.65,0.84,0.16,0.92,0.02
164,5/31/2014,SE1,qMO,Utilities,Utilities - Regulated Gas,Large,0.99,0.51,0.45,0.92,0.71,0.7,0.02
165,5/31/2014,AJG,qMO,Financial Services,Insurance Brokers,Large,0.99,0.07,0.24,0.23,0.73,0.99,0.02
166,5/31/2014,AJG,qGrowth,Financial Services,Insurance Brokers,Large,0.99,0.07,0.24,0.23,0.73,0.99,0.02
167,5/31/2014,AGN1,qMO,Healthcare,Biotechnology,Large,0.98,0.14,0.91,0.17,0.05,0.83,0.02
168,5/31/2014,ASX,qMO,Technology,Semiconductors,Large,0.98,0.73,0.68,0.53,0.93,0.84,0.02
169,5/31/2014,ASX,qSentiment,Technology,Semiconductors,Large,0.98,0.73,0.68,0.53,0.93,0.84,0.02
170,5/31/2014,BALL,qMO,Consumer Cyclical,Packaging & Containers,Large,0.98,0.77,0.63,0.7,0.57,0.69,0.02
171,5/31/2014,CXO,qMO,Energy,Oil & Gas E&P,Large,0.98,0.49,0.68,0.09,0.26,0.77,0.02
172,5/31/2014,HDB,qMO,Financial Services,Banks - Regional,Large,0.98,0.41,0.09,0.23,0.34,0.93,0.02
173,5/31/2014,HDB,qGrowth,Financial Services,Banks - Regional,Large,0.98,0.41,0.09,0.23,0.34,0.93,0.02
174,5/31/2014,NRG,qMO,Utilities,Utilities - Independent Power Producers,Large,0.98,0.7,0.27,0.45,0.58,0.74,0.02
175,5/31/2014,PBA,qMO,Energy,Oil & Gas Midstream,Large,0.98,0.39,0.21,0.96,0.48,0.89,0.02
176,5/31/2014,PBA,qLV,Energy,Oil & Gas Midstream,Large,0.98,0.39,0.21,0.96,0.48,0.89,0.02
177,5/31/2014,PBA,qGrowth,Energy,Oil & Gas Midstream,Large,0.98,0.39,0.21,0.96,0.48,0.89,0.02
178,5/31/2014,ETP,qMO,Energy,Oil & Gas Midstream,Large,0.97,0.6,0.1,0.83,0.68,0.59,0.02
179,5/31/2014,FNF,qMO,Financial Services,Insurance - Specialty,Large,0.97,0.11,0.05,0.46,0.74,0.74,0.02
180,5/31/2014,IHG,qMO,Consumer Cyclical,Lodging,Large,0.97,0.42,0.7,0.53,0.23,0.43,0.02
181,5/31/2014,LO,qMO,Consumer Defensive,Tobacco,Large,0.97,0.24,0.4,0.3,0.23,0.41,0.02
182,5/31/2014,SNN,qMO,Healthcare,Medical Devices,Large,0.97,0.41,0.96,0.85,0.32,0.32,0.02
183,5/31/2014,SNN,qQuality,Healthcare,Medical Devices,Large,0.97,0.41,0.96,0.85,0.32,0.32,0.02
184,5/31/2014,XEC,qMO,Energy,Oil & Gas E&P,Large,0.97,0.7,0.84,0.05,0.05,0.93,0.02
185,5/31/2014,XEC,qGrowth,Energy,Oil & Gas E&P,Large,0.97,0.7,0.84,0.05,0.05,0.93,0.02
186,5/31/2014,EPC,qMO,Consumer Defensive,Household & Personal Products,Large,0.97,0.83,0.62,0.11,0.06,0.91,0.02
187,5/31/2014,BN,qMO,Financial Services,Asset Management,Large,0.96,0.3,0.1,0.94,0.84,0.88,0.02
188,5/31/2014,BN,qSentiment,Financial Services,Asset Management,Large,0.96,0.3,0.1,0.94,0.84,0.88,0.02
189,5/31/2014,BN,qGrowth,Financial Services,Asset Management,Large,0.96,0.3,0.1,0.94,0.84,0.88,0.02
190,5/31/2014,FRX1,qMO,Healthcare,Biotechnology,Large,0.96,0.07,0.56,0.1,0.19,0.67,0.02
191,6/30/2014,AGN,qMO,Healthcare,Drug Manufacturers - General,Large,0.94,0.05,0.17,0.12,0.02,0.97,0.02
192,6/30/2014,AKAM,qMO,Technology,Software - Infrastructure,Large,0.78,0.06,0.9,0.03,0.11,0.75,0.02
193,6/30/2014,AKAM,qQuality,Technology,Software - Infrastructure,Large,0.78,0.06,0.9,0.03,0.11,0.75,0.02
194,6/30/2014,AMAT,qMO,Technology,Semiconductor Equipment & Materials,Large,0.99,0.1,0.55,0.17,0.69,0.22,0.02
195,6/30/2014,ATVI,qMO,Technology,Electronic Gaming & Multimedia,Large,0.95,0.38,0.62,0.16,0.72,0.4,0.02
196,6/30/2014,AVGO,qMO,Technology,Semiconductors,Large,0.79,0.05,0.91,0.1,0.82,0.75,0.02
197,6/30/2014,BFH,qMO,Financial Services,Credit Services,Large,0.87,0.04,0.31,0.08,0.01,0.53,0.02
198,6/30/2014,CMG,qMO,Consumer Cyclical,Restaurants,Large,0.93,0.09,0.97,0.09,0.01,0.82,0.02
199,6/30/2014,CMG,qQuality,Consumer Cyclical,Restaurants,Large,0.93,0.09,0.97,0.09,0.01,0.82,0.02
200,6/30/2014,DD,qMO,Basic Materials,Chemicals,Large,0.87,0.94,0.56,0.32,0.27,0.86,0.02
201,6/30/2014,EA,qMO,Technology,Electronic Gaming & Multimedia,Large,0.99,0.15,0.91,0.06,0.49,0.31,0.02
202,6/30/2014,GLW,qMO,Technology,Electronic Components,Large,0.84,0.57,0.83,0.21,0.88,0.79,0.02
203,6/30/2014,GMKYY,qMO,Consumer Defensive,Packaged Foods,Large,0.91,0.95,0.59,0.47,0.23,0.87,0.02
204,6/30/2014,GRMN,qMO,Technology,Scientific & Technical Instruments,Large,0.81,0.28,0.72,0.29,0.46,0.38,0.02
205,6/30/2014,HAL,qMO,Energy,Oil & Gas Equipment & Services,Large,0.94,0.67,0.75,0.28,0.18,0.93,0.02
206,6/30/2014,HP,qMO,Energy,Oil & Gas Drilling,Large,0.89,0.7,0.86,0.23,0.13,0.44,0.02
207,6/30/2014,HUBB,qMO,Industrials,Electrical Equipment & Parts,Large,0.81,0.48,0.59,0.32,0.09,1,0.02
208,6/30/2014,HUBB,qGrowth,Industrials,Electrical Equipment & Parts,Large,0.81,0.48,0.59,0.32,0.09,1,0.02
209,6/30/2014,ILMN,qMO,Healthcare,Diagnostics & Research,Large,0.92,0.02,0.7,0.03,0.03,0.9,0.02
210,6/30/2014,LNG,qMO,Energy,Oil & Gas Midstream,Large,0.84,0.1,0.02,0.04,0.24,0.39,0.02
211,6/30/2014,LYB,qMO,Basic Materials,Specialty Chemicals,Large,0.97,0.88,0.64,0.67,0.47,0.68,0.02
212,6/30/2014,MAR,qMO,Consumer Cyclical,Lodging,Large,0.97,0.25,0.36,0.66,0.44,0.75,0.02
213,6/30/2014,META,qMO,Technology,Internet Content & Information,Large,0.87,0.03,0.99,0.04,0.21,1,0.02
214,6/30/2014,META,qQuality,Technology,Internet Content & Information,Large,0.87,0.03,0.99,0.04,0.21,1,0.02
215,6/30/2014,META,qGrowth,Technology,Internet Content & Information,Large,0.87,0.03,0.99,0.04,0.21,1,0.02
216,6/30/2014,MU,qMO,Technology,Semiconductors,Large,0.96,0.59,0.9,0.03,0.26,0.78,0.02
217,6/30/2014,NFLX,qMO,Consumer Cyclical,Entertainment,Large,0.93,0.02,0.23,0.03,0.3,0.66,0.02
218,6/30/2014,NXPI,qMO,Technology,Semiconductors,Large,0.88,0.12,0.91,0.04,0.29,0.53,0.02
219,6/30/2014,TRIP,qMO,Industrials,Travel Services,Large,0.84,0.03,1,0.01,0.08,0.88,0.02
220,6/30/2014,TRIP,qQuality,Industrials,Travel Services,Large,0.84,0.03,1,0.01,0.08,0.88,0.02
221,6/30/2014,TRW,qMO,Consumer Cyclical,Auto Parts,Large,0.82,0.94,0.41,0.18,0.24,0.8,0.02
222,6/30/2014,TRW,qValue,Consumer Cyclical,Auto Parts,Large,0.82,0.94,0.41,0.18,0.24,0.8,0.02
223,6/30/2014,UAA,qMO,Consumer Cyclical,Apparel Manufacturing,Large,0.77,0.03,0.29,0.02,0.3,0.65,0.02
224,6/30/2014,WLK,qMO,Basic Materials,Specialty Chemicals,Large,0.96,0.71,0.86,0.24,0.37,0.92,0.02
225,6/30/2014,HCA,qMO,Healthcare,Medical Care Facilities,Large,1,0.62,0.11,0.43,0.39,0.31,0.02
226,6/30/2014,UHS,qMO,Healthcare,Medical Care Facilities,Large,1,0.82,0.48,0.37,0.16,0.5,0.02
227,6/30/2014,WMB,qMO,Energy,Oil & Gas Midstream,Large,1,0.21,0.59,0.26,0.03,0.15,0.02
228,6/30/2014,YPF,qMO,Energy,Oil & Gas Integrated,Large,1,0.97,0.98,0.16,0.19,0.49,0.02
229,6/30/2014,YPF,qValue,Energy,Oil & Gas Integrated,Large,1,0.97,0.98,0.16,0.19,0.49,0.02
230,6/30/2014,YPF,qQuality,Energy,Oil & Gas Integrated,Large,1,0.97,0.98,0.16,0.19,0.49,0.02
231,6/30/2014,LEA,qMO,Consumer Cyclical,Auto Parts,Large,1,0.9,0.43,0.04,0.01,1,0.02
232,6/30/2014,LEA,qGrowth,Consumer Cyclical,Auto Parts,Large,1,0.9,0.43,0.04,0.01,1,0.02
233,6/30/2014,COV,qMO,Healthcare,Medical Devices,Large,0.99,0.41,0.72,0.35,0.01,0.12,0.02
234,6/30/2014,CP,qMO,Industrials,Railroads,Large,0.99,0.34,0.57,0.55,0.53,0.69,0.02
235,6/30/2014,IHG,qMO,Consumer Cyclical,Lodging,Large,0.99,0.45,0.69,0.56,0.45,0.43,0.02
236,6/30/2014,STZ,qMO,Consumer Defensive,Beverages - Wineries & Distilleries,Large,0.99,0.66,0.44,0.4,0.13,0.99,0.02
237,6/30/2014,STZ,qGrowth,Consumer Defensive,Beverages - Wineries & Distilleries,Large,0.99,0.66,0.44,0.4,0.13,0.99,0.02
238,6/30/2014,SWKS,qMO,Technology,Semiconductors,Large,0.99,0.23,0.96,0,0.4,1,0.02
239,6/30/2014,SWKS,qGrowth,Technology,Semiconductors,Large,0.99,0.23,0.96,0,0.4,1,0.02
240,6/30/2014,CBRE,qMO,Real Estate,Real Estate Services,Large,0.98,0.55,0.29,0.25,0.63,0.62,0.02
241,6/30/2014,CTAS,qMO,Industrials,Specialty Business Services,Large,0.98,0.68,0.6,0.16,0.71,0.91,0.02
242,6/30/2014,FRX1,qMO,Healthcare,Biotechnology,Large,0.98,0.07,0.56,0.1,0.13,0.67,0.02
243,6/30/2014,PXD,qMO,Energy,Oil & Gas E&P,Large,0.98,0.19,0.27,0.06,0.02,0.38,0.02
244,6/30/2014,VEDL,qMO,Basic Materials,Other Industrial Metals & Mining,Large,0.98,,,,0.68,,0.02
245,6/30/2014,WBA,qMO,Consumer Defensive,Pharmaceutical Retailers,Large,0.98,0.64,0.44,0.35,0.34,0.43,0.02
246,6/30/2014,WLL2,qMO,Energy,Oil & Gas E&P,Large,0.98,0.8,0.76,0.03,0.01,0.78,0.02
247,6/30/2014,FL,qMO,Consumer Cyclical,Footwear & Accessories,Large,0.98,0.85,0.69,0.06,0.02,0.99,0.02
248,6/30/2014,FL,qGrowth,Consumer Cyclical,Footwear & Accessories,Large,0.98,0.85,0.69,0.06,0.02,0.99,0.02
249,6/30/2014,NJDCY,qMO,Industrials,Specialty Industrial Machinery,Large,0.97,0.99,0.48,0.61,0.84,0.74,0.02
250,6/30/2014,NJDCY,qValue,Industrials,Specialty Industrial Machinery,Large,0.97,0.99,0.48,0.61,0.84,0.74,0.02
251,6/30/2014,NJDCY,qSentiment,Industrials,Specialty Industrial Machinery,Large,0.97,0.99,0.48,0.61,0.84,0.74,0.02
252,6/30/2014,SHPG,qMO,Healthcare,Biotechnology,Large,0.97,0.14,0.96,0.32,0,0.7,0.02
253,6/30/2014,SHPG,qQuality,Healthcare,Biotechnology,Large,0.97,0.14,0.96,0.32,0,0.7,0.02
254,6/30/2014,TSLA,qMO,Consumer Cyclical,Auto Manufacturers,Large,0.97,0.01,0.07,0.02,0.43,0.28,0.02
255,6/30/2014,XEC,qMO,Energy,Oil & Gas E&P,Large,0.97,0.67,0.85,0.04,0.05,0.93,0.02
256,6/30/2014,XEC,qGrowth,Energy,Oil & Gas E&P,Large,0.97,0.67,0.85,0.04,0.05,0.93,0.02
257,6/30/2014,AJG,qMO,Financial Services,Insurance Brokers,Large,0.97,0.07,0.24,0.22,0.87,0.98,0.02
258,7/31/2014,AKAM,qMO,Technology,Software - Infrastructure,Large,0.83,0.06,0.91,0.03,0.44,0.77,0.02
259,7/31/2014,AKAM,qQuality,Technology,Software - Infrastructure,Large,0.83,0.06,0.91,0.03,0.44,0.77,0.02
260,7/31/2014,AMAT,qMO,Technology,Semiconductor Equipment & Materials,Large,0.83,0.11,0.55,0.21,0.61,0.21,0.02
261,7/31/2014,ATVI,qMO,Technology,Electronic Gaming & Multimedia,Large,0.78,0.37,0.62,0.16,0.92,0.37,0.02
262,7/31/2014,AVGO,qMO,Technology,Semiconductors,Large,0.79,0.05,0.92,0.09,0.21,0.75,0.02
263,7/31/2014,BIIB,qMO,Healthcare,Drug Manufacturers - General,Large,0.87,0.07,0.97,0.12,0.01,0.96,0.02
264,7/31/2014,BIIB,qQuality,Healthcare,Drug Manufacturers - General,Large,0.87,0.07,0.97,0.12,0.01,0.96,0.02
265,7/31/2014,BIIB,qGrowth,Healthcare,Drug Manufacturers - General,Large,0.87,0.07,0.97,0.12,0.01,0.96,0.02
266,7/31/2014,CMA,qMO,Financial Services,Banks - Regional,Large,0.78,0.25,0.09,0.34,0.68,0.68,0.02
267,7/31/2014,CMG,qMO,Consumer Cyclical,Restaurants,Large,0.94,0.06,0.96,0.07,0,0.89,0.02
268,7/31/2014,CMG,qQuality,Consumer Cyclical,Restaurants,Large,0.94,0.06,0.96,0.07,0,0.89,0.02
269,7/31/2014,DD,qMO,Basic Materials,Chemicals,Large,0.88,0.84,0.32,0.36,0.09,0.33,0.02
270,7/31/2014,EA,qMO,Technology,Electronic Gaming & Multimedia,Large,0.92,0.16,0.91,0.05,0.37,0.3,0.02
271,7/31/2014,ELV,qMO,Healthcare,Healthcare Plans,Large,0.92,0.94,0.35,0.55,0.18,0.8,0.02
272,7/31/2014,GLW,qMO,Technology,Electronic Components,Large,0.81,0.56,0.87,0.18,0.59,0.74,0.02
273,7/31/2014,GMKYY,qMO,Consumer Defensive,Packaged Foods,Large,1,0.95,0.6,0.47,0.32,0.85,0.02
274,7/31/2014,GRMN,qMO,Technology,Scientific & Technical Instruments,Large,0.8,0.32,0.71,0.27,0.21,0.43,0.02
275,7/31/2014,HAL,qMO,Energy,Oil & Gas Equipment & Services,Large,0.98,0.66,0.72,0.28,0.31,0.93,0.02
276,7/31/2014,HP,qMO,Energy,Oil & Gas Drilling,Large,0.9,0.73,0.87,0.17,0.14,0.24,0.02
277,7/31/2014,HUBB,qMO,Industrials,Electrical Equipment & Parts,Large,0.99,0.47,0.56,0.33,0.07,0.99,0.02
278,7/31/2014,HUBB,qGrowth,Industrials,Electrical Equipment & Parts,Large,0.99,0.47,0.56,0.33,0.07,0.99,0.02
279,7/31/2014,ILMN,qMO,Healthcare,Diagnostics & Research,Large,0.95,0.02,0.7,0.03,0.03,0.87,0.02
280,7/31/2014,LNG,qMO,Energy,Oil & Gas Midstream,Large,0.99,0.02,0.15,0.05,0.25,0.43,0.02
281,7/31/2014,LYB,qMO,Basic Materials,Specialty Chemicals,Large,0.92,0.86,0.7,0.64,0.06,0.74,0.02
282,7/31/2014,MAR,qMO,Consumer Cyclical,Lodging,Large,0.99,0.19,0.36,0.62,0.61,0.47,0.02
283,7/31/2014,META,qMO,Technology,Internet Content & Information,Large,0.99,0.02,0.99,0.05,0.06,0.99,0.02
